base_date,emd_nm,averageTemperature,lowestTemperature,lowestTemperatureTime,highestTemperature,highestTemperatureTime,dailyRainfall,maximumWindSpeed,maximumWindSpeedTime,averageWindSpeed,maximumWindSpeedDirection
2019-09,서홍동,24.05666666666667,21.386666666666663,920.6666666666666,27.410000000000007,1168.6,18.1,10.006666666666664,1134.4,3.083333333333334,133.60333333333332
2019-09,성산읍,23.419999999999995,20.79666666666667,1115.9,26.576666666666668,1140.4666666666667,17.816666666666666,8.673333333333336,1282.8,3.2633333333333345,113.34666666666665
2019-09,송산동,24.05666666666667,21.386666666666663,920.6666666666666,27.410000000000007,1168.6,18.1,10.006666666666664,1134.4,3.083333333333334,133.60333333333332
2019-09,아라동,20.53666666666667,17.793333333333337,1230.0333333333333,24.223333333333336,1188.2,37.4,8.723333333333333,1236.4666666666667,2.266666666666666,141.08666666666667
2019-09,안덕면,22.61,19.536666666666665,941.7666666666667,26.496666666666673,1186.2666666666667,14.433333333333334,10.793333333333331,1284.3666666666666,2.7499999999999996,133.10333333333335
2019-09,애월읍,21.046666666666663,18.23333333333333,873.2666666666667,25.16,1207.8,26.016666666666666,9.359999999999998,1168.1333333333334,2.226666666666667,97.50666666666667
2019-09,연동,22.78666666666667,19.739999999999995,917.0,26.386666666666667,1197.3333333333333,24.2,9.783333333333337,1267.4333333333334,2.3400000000000003,118.38000000000001
2019-09,영천동,24.05666666666667,21.386666666666663,920.6666666666666,27.410000000000007,1168.6,18.1,10.006666666666664,1134.4,3.083333333333334,133.60333333333332
2019-09,예래동,22.61,19.536666666666665,941.7666666666667,26.496666666666673,1186.2666666666667,14.433333333333334,10.793333333333331,1284.3666666666666,2.7499999999999996,133.10333333333335
2019-09,오라동,15.233333333333334,12.725925925925925,1177.5185185185185,18.296296296296294,1246.3703703703704,44.2962962962963,12.64074074074074,1370.7037037037037,3.8851851851851853,136.25185185185185
2019-09,외도동,22.78666666666667,19.739999999999995,917.0,26.386666666666667,1197.3333333333333,24.2,9.783333333333337,1267.4333333333334,2.3400000000000003,118.38000000000001
2019-09,용담1동,22.78666666666667,19.739999999999995,917.0,26.386666666666667,1197.3333333333333,24.2,9.783333333333337,1267.4333333333334,2.3400000000000003,118.38000000000001
2019-09,용담2동,22.78666666666667,19.739999999999995,917.0,26.386666666666667,1197.3333333333333,24.2,9.783333333333337,1267.4333333333334,2.3400000000000003,118.38000000000001
2019-09,우도면,24.19583333333333,22.349999999999998,1062.0416666666667,26.412500000000005,1344.125,17.833333333333332,6.941666666666664,1356.6666666666667,3.016666666666667,134.3166666666667
2019-09,이도1동,22.430000000000003,20.096666666666668,1035.1666666666667,25.51666666666666,1213.2666666666667,25.366666666666667,9.686666666666666,1180.6333333333334,2.5566666666666666,137.17333333333332
2019-09,이도2동,22.430000000000003,20.096666666666668,1035.1666666666667,25.51666666666666,1213.2666666666667,25.366666666666667,9.686666666666666,1180.6333333333334,2.5566666666666666,137.17333333333332
2019-09,이호동,22.78666666666667,19.739999999999995,917.0,26.386666666666667,1197.3333333333333,24.2,9.783333333333337,1267.4333333333334,2.3400000000000003,118.38000000000001
2019-09,일도1동,22.78666666666667,19.739999999999995,917.0,26.386666666666667,1197.3333333333333,24.2,9.783333333333337,1267.4333333333334,2.3400000000000003,118.38000000000001
2019-09,일도2동,22.78666666666667,19.739999999999995,917.0,26.386666666666667,1197.3333333333333,24.2,9.783333333333337,1267.4333333333334,2.3400000000000003,118.38000000000001
2019-09,정방동,24.05666666666667,21.386666666666663,920.6666666666666,27.410000000000007,1168.6,18.1,10.006666666666664,1134.4,3.083333333333334,133.60333333333332
2019-09,조천읍,22.430000000000003,20.096666666666668,1035.1666666666667,25.51666666666666,1213.2666666666667,25.366666666666667,9.686666666666666,1180.6333333333334,2.5566666666666666,137.17333333333332
2019-09,중문동,23.810000000000002,20.256666666666668,1070.7,27.800000000000004,1280.7666666666667,11.4,9.173333333333336,1195.3333333333333,1.6766666666666667,120.37333333333332
