base_date,emd_nm,disQuantity,disCount
2018-04,이호동,17142850.0,7094.0
2018-04,일도1동,24693200.0,8045.0
2018-04,일도2동,151287150.0,68701.0
2018-04,정방동,25371550.0,6711.0
2018-04,조천읍,62036285.23101067,27001.924042686755
2018-04,중문동,39101550.0,13401.0
2018-04,중앙동,49485650.0,11049.0
2018-04,천지동,19204650.0,5132.0
2018-04,표선면,12664250.0,3368.0
2018-04,한경면,62036285.23101067,27001.924042686755
2018-04,한림읍,62036285.23101067,27001.924042686755
2018-04,화북동,106381250.0,53447.0
2018-04,효돈동,8599500.0,2242.0
2018-05,건입동,36895150.0,16954.0
2018-05,구좌읍,62036285.23101067,27001.924042686755
2018-05,남원읍,42616750.0,11153.0
2018-05,노형동,247119900.0,122234.0
2018-05,대륜동,44917300.0,17872.0
2018-05,대정읍,39464650.0,11664.0
2018-05,대천동,21190250.0,8210.0
2018-05,도두동,13329000.0,5215.0
2018-05,동홍동,109643700.0,48943.0
2018-05,봉개동,13325850.0,5194.0
2018-05,삼도1동,64974900.0,31569.0
2018-05,삼도2동,37271150.0,18854.0
2018-05,삼양동,64388550.0,30517.0
2018-05,서홍동,44874950.0,16914.0
2018-05,성산읍,14259700.0,3232.0
2018-05,송산동,33645300.0,8855.0
2018-05,아라동,111646400.0,55274.0
2018-05,안덕면,13192450.0,3815.0
2018-05,애월읍,7819200.0,4010.0
2018-05,연동,217454900.0,106988.0
2018-05,영천동,23099700.0,5869.0
2018-05,예래동,11926500.0,3122.0
2018-05,오라동,54199450.0,24510.0
2018-05,외도동,100062750.0,49080.0
2018-05,용담1동,36429400.0,15676.0
2018-05,용담2동,62784050.0,31444.0
2018-05,이도1동,48000950.0,20331.0
2018-05,이도2동,200670000.0,95414.0
2018-05,이호동,17981950.0,8104.0
2018-05,일도1동,24954800.0,8685.0
2018-05,일도2동,152835200.0,75215.0
2018-05,정방동,25728550.0,6882.0
2018-05,조천읍,62036285.23101067,27001.924042686755
2018-05,중문동,39752100.0,14742.0
2018-05,중앙동,46853850.0,11655.0
2018-05,천지동,19017300.0,5457.0
2018-05,표선면,13883650.0,3804.0
2018-05,한경면,62036285.23101067,27001.924042686755
2018-05,한림읍,62036285.23101067,27001.924042686755
2018-05,화북동,108522150.0,58883.0
2018-05,효돈동,11165100.0,3203.0
2018-06,건입동,39944300.0,18574.0
2018-06,구좌읍,62036285.23101067,27001.924042686755
2018-06,남원읍,42287450.0,11733.0
2018-06,노형동,259771665.0,130512.0
2018-06,대륜동,44040750.0,18093.0
2018-06,대정읍,40816600.0,12238.0
2018-06,대천동,20788450.0,8550.0
2018-06,도두동,14229500.0,5635.0
2018-06,동홍동,113909700.0,52725.0
2018-06,봉개동,13776700.0,5814.0
2018-06,삼도1동,69544200.0,34413.0
2018-06,삼도2동,40600450.0,20874.0
2018-06,삼양동,69511350.0,33068.0
2018-06,서홍동,45903150.0,17449.0
2018-06,성산읍,14160700.0,3240.0
2018-06,송산동,32390600.0,9060.0
2018-06,아라동,116743400.0,58293.0
2018-06,안덕면,13036850.0,3932.0
2018-06,애월읍,8462300.0,4259.0
2018-06,연동,227309650.0,114498.0
2018-06,영천동,24452350.0,6406.0
2018-06,예래동,11725550.0,3262.0
2018-06,오라동,58803700.0,26935.0
2018-06,외도동,107489650.0,53291.0
2018-06,용담1동,36598650.0,16554.0
2018-06,용담2동,67537900.0,34702.0
2018-06,이도1동,52430350.0,22575.0
2018-06,이도2동,213079600.0,103113.0
2018-06,이호동,19630950.0,8967.0
2018-06,일도1동,25186300.0,9145.0
2018-06,일도2동,166496250.0,82783.0
2018-06,정방동,26067400.0,7237.0
2018-06,조천읍,62036285.23101067,27001.924042686755
2018-06,중문동,41221850.0,15672.0
2018-06,중앙동,45387950.0,11767.0
2018-06,천지동,19598800.0,5962.0
2018-06,표선면,11408250.0,3327.0
2018-06,한경면,62036285.23101067,27001.924042686755
2018-06,한림읍,62036285.23101067,27001.924042686755
2018-06,화북동,114759050.0,63479.0
2018-06,효돈동,12232450.0,3889.0
2018-07,건입동,47229450.0,22681.0
2018-07,구좌읍,62036285.23101067,27001.924042686755
2018-07,남원읍,49758400.0,13599.0
2018-07,노형동,313778000.0,157503.0
2018-07,대륜동,54931050.0,21805.0
2018-07,대정읍,46522100.0,12824.0
2018-07,대천동,23846500.0,9414.0
2018-07,도두동,16576950.0,6745.0
2018-07,동홍동,136097050.0,61805.0
2018-07,봉개동,16599800.0,6995.0
2018-07,삼도1동,84661600.0,42028.0
2018-07,삼도2동,51025800.0,25924.0
2018-07,삼양동,88850300.0,41005.0
2018-07,서홍동,53103200.0,20829.0
2018-07,성산읍,15918350.0,3449.0
2018-07,송산동,35694700.0,10687.0
2018-07,아라동,141620900.0,69798.0
2018-07,안덕면,14471600.0,4794.0
2018-07,애월읍,10000750.0,5075.0
2018-07,연동,272991200.0,137011.0
2018-07,영천동,29183500.0,7578.0
2018-07,예래동,13673900.0,3705.0
2018-07,오라동,70977000.0,32803.0
2018-07,외도동,131970900.0,64263.0
