,disYear,disMonth,disDate,disDay,cityCode,citySidoName,citySggName,disQuantity,disQuantityRate,disCount,disCountRate
63,2018,02,02,6,W6X,제주특별자치도,제주시,53493150,3.24,22968,3.4
64,2018,02,03,7,W6X,제주특별자치도,제주시,44833600,2.72,18692,2.76
65,2018,02,04,1,W6X,제주특별자치도,제주시,47033850,2.85,19979,2.95
66,2018,02,05,2,W6X,제주특별자치도,제주시,51296600,3.11,21007,3.11
67,2018,02,06,3,W6X,제주특별자치도,제주시,42777850,2.59,17835,2.64
68,2018,02,07,4,W6X,제주특별자치도,제주시,55649750,3.37,22216,3.28
69,2018,02,08,5,W6X,제주특별자치도,제주시,57050150,3.46,23099,3.41
70,2018,02,09,6,W6X,제주특별자치도,제주시,58475200,3.55,23386,3.46
71,2018,02,10,7,W6X,제주특별자치도,제주시,57615150,3.49,22914,3.39
72,2018,02,11,1,W6X,제주특별자치도,제주시,61270000,3.72,24755,3.66
73,2018,02,12,2,W6X,제주특별자치도,제주시,55218100,3.35,22727,3.36
74,2018,02,13,3,W6X,제주특별자치도,제주시,65196600,3.95,26505,3.92
75,2018,02,14,4,W6X,제주특별자치도,제주시,72790550,4.41,29646,4.38
76,2018,02,15,5,W6X,제주특별자치도,제주시,89855850,5.45,37128,5.49
77,2018,02,16,6,W6X,제주특별자치도,제주시,49630800,3.01,20962,3.1
78,2018,02,17,7,W6X,제주특별자치도,제주시,59802700,3.63,23943,3.54
79,2018,02,18,1,W6X,제주특별자치도,제주시,67889550,4.12,27468,4.06
80,2018,02,19,2,W6X,제주특별자치도,제주시,63741200,3.87,25645,3.79
81,2018,02,20,3,W6X,제주특별자치도,제주시,63424200,3.85,26191,3.87
82,2018,02,21,4,W6X,제주특별자치도,제주시,57212150,3.47,23441,3.46
83,2018,02,22,5,W6X,제주특별자치도,제주시,59413800,3.6,24845,3.67
84,2018,02,23,6,W6X,제주특별자치도,제주시,59030600,3.58,24550,3.63
85,2018,02,24,7,W6X,제주특별자치도,제주시,61954300,3.76,25120,3.71
86,2018,02,25,1,W6X,제주특별자치도,제주시,68185800,4.14,27678,4.09
87,2018,02,26,2,W6X,제주특별자치도,제주시,63310350,3.84,26060,3.85
88,2018,02,27,3,W6X,제주특별자치도,제주시,61949600,3.76,25956,3.84
89,2018,02,28,4,W6X,제주특별자치도,제주시,43538150,2.64,17849,2.64
90,2018,02,01,5,W6Y,제주특별자치도,서귀포시,21647000,3.63,6480,3.6
