base_date,emd_nm,disQuantity,disCount
18-Aug,이호동,22746500,10536
18-Aug,일도1동,25487100,9913
18-Aug,일도2동,193212950,96757
18-Aug,조천읍,,
18-Aug,한경면,,
18-Aug,한림읍,,
18-Aug,화북동,132098350,74074
18-Sep,건입동,40661700,20216
18-Sep,구좌읍,,
18-Sep,노형동,248812800,136342
18-Sep,도두동,14126400,6191
18-Sep,봉개동,14519400,6299
18-Sep,삼도1동,68127550,36404
18-Sep,삼도2동,41324550,22834
18-Sep,삼도동,,
18-Sep,삼양동,68664500,35866
18-Sep,아라동,113314200,61743
18-Sep,애월읍,6400950,3743
18-Sep,연동,221793650,120465
18-Sep,오라동,56241800,28596
18-Sep,외도동,103722800,56034
18-Sep,용담1동,38490300,18367
18-Sep,용담2동,65767750,36105
18-Sep,이도1동,49415150,23430
18-Sep,이도2동,216153300,112807
18-Sep,이호동,19197300,9680
18-Sep,일도1동,26828750,9755
18-Sep,일도2동,165751500,88702
18-Sep,조천읍,,
18-Sep,한경면,,
18-Sep,한림읍,,
18-Sep,화북동,113717550,67744
18-Oct,건입동,37150300,18193
18-Oct,구좌읍,,
18-Oct,노형동,234461300,126603
18-Oct,도두동,13939950,5800
18-Oct,봉개동,12968950,5749
18-Oct,삼도1동,64399350,33376
18-Oct,삼도2동,39509550,21220
18-Oct,삼도동,,
18-Oct,삼양동,63820450,32795
18-Oct,아라동,108299100,57146
18-Oct,애월읍,6111700,3595
18-Oct,연동,207726250,110873
18-Oct,오라동,53406650,26495
18-Oct,외도동,98754200,51897
18-Oct,용담1동,35375900,16693
18-Oct,용담2동,58686300,31632
18-Oct,이도1동,47771600,22090
18-Oct,이도2동,197647350,101620
18-Oct,이호동,18048350,8719
18-Oct,일도1동,25863500,9045
18-Oct,일도2동,151312900,79869
18-Oct,조천읍,,
18-Oct,한경면,,
18-Oct,한림읍,,
18-Oct,화북동,104695950,61065
18-Nov,건입동,34887200,16392
18-Nov,구좌읍,,
18-Nov,노형동,236121800,117546
18-Nov,도두동,13141200,5312
18-Nov,봉개동,13259700,5315
18-Nov,삼도1동,64379300,30677
18-Nov,삼도2동,38665950,19745
18-Nov,삼도동,,
18-Nov,삼양동,64729050,30514
18-Nov,아라동,109981250,53854
18-Nov,애월읍,6400500,3465
18-Nov,연동,211619350,103422
18-Nov,오라동,54173900,24712
18-Nov,외도동,99686050,47777
18-Nov,용담1동,35274050,15264
18-Nov,용담2동,57637600,28606
18-Nov,이도1동,49356850,20588
18-Nov,이도2동,199835600,93575
18-Nov,이호동,18169050,7965
18-Nov,일도1동,26084800,8501
18-Nov,일도2동,152445700,73413
18-Nov,조천읍,,
18-Nov,한경면,,
18-Nov,한림읍,,
18-Nov,화북동,105954450,56249
18-Dec,건입동,38480650,15819
18-Dec,구좌읍,,
18-Dec,노형동,261611300,116519
18-Dec,도두동,13586400,5148
18-Dec,봉개동,14460850,5192
18-Dec,삼도1동,70226250,29803
18-Dec,삼도2동,42597950,18920
18-Dec,삼도동,,
18-Dec,삼양동,69484250,29512
18-Dec,아라동,118673800,52568
18-Dec,애월읍,6988000,3374
18-Dec,연동,229912900,100351
18-Dec,오라동,60046400,24790
18-Dec,외도동,107696050,47244
18-Dec,용담1동,37886500,14564
18-Dec,용담2동,63110600,27850
18-Dec,이도1동,49451600,19375
18-Dec,이도2동,218500950,91497
